trade_code,name
5870,鹏华沪深300指数增强
5885,金鹰信息产业股票C
5894,华夏优势精选股票
5918,天弘沪深300指数C
5919,天弘中证500指数C
5927,创金合信新能源汽车股票A
5928,创金合信新能源汽车股票C
5960,博时量化价值股票A
5961,博时量化价值股票C
5962,宝盈人工智能股票A
5963,宝盈人工智能股票C
5965,安信中证500指数增强A
5966,安信中证500指数增强C
5968,创金合信工业周期股票A
5969,创金合信工业周期股票C
5970,国泰消费优选股票
5994,国投中证500指数量化增强A
6002,工银医药健康股票A
6003,工银医药健康股票C
6020,广发沪深300指数增强A
6021,广发沪深300指数增强C
6048,长城中证500指数增强
6080,海富通电子传媒股票C
6081,海富通电子传媒股票A
6138,国联安价值优选股票
6165,建信中证1000指数增强A
6166,建信中证1000指数增强C
6228,中欧医疗创新股票A
6229,中欧医疗创新股票C
6238,中融智选质量股票A
6239,中融智选质量股票C
6257,信达澳银先进智造股票型
6263,易方达香港小型股指数C
6265,红土创新新科技股票
6346,安信量化优选股票A
6347,安信量化优选股票C
6350,中金MSCI中国A股价值指数C
6351,中金MSCI中国A股红利指数A
6352,中金MSCI中国A股红利指数C
6395,华夏上证50AH优选指数C
6479,广发纳斯达克100指数C
6486,广发中证1000指数A
6487,广发中证1000指数C
6502,财通集成电路产业股票A
6503,财通集成电路产业股票C
6524,前海开源MSCI中国A股指数A
6525,前海开源MSCI中国A股指数C
6578,泰康中证港股通非银指数A
6579,泰康中证港股通非银指数C
6600,人保沪深300指数
6603,嘉实互融精选股票
6604,嘉实消费精选股票A
6605,嘉实消费精选股票C
6611,人保中证500指数
6614,嘉实港股通新经济指数C
6633,博时中债1-3政金债指数A
6634,博时中债1-3政金债指数C
6658,财通中证香港红利等权指数A
6659,财通中证香港红利等权指数C
6679,广发道琼斯石油指数美元现汇
6680,广发道琼斯石油指数美元现汇C
6692,金信消费升级股票A
6693,金信消费升级股票C
6726,农银汇理多因子股票
6745,交银中债1-3年农发债指数
6746,交银中债1-3年农发债指数
6751,富国互联科技股票
6781,汇丰晋信港股通精选股票
6803,嘉实互通精选股票
6816,泰康港股通地产指数A
6817,泰康港股通地产指数C
6818,安信盈利驱动股票A
6819,安信盈利驱动股票C
6868,华夏科技成长股票
6912,长城久泰沪深300指数C
6923,前海开源沪港深非周期股票A
6924,前海开源沪港深非周期股票C
6925,永赢中债1-3年政金债指数
6928,长城创业板指数增强C
6930,泰康港股通TMT指数A
6931,泰康港股通TMT指数C
6937,工银沪深300指数C
6938,鹏华中证500指数(LOF
6939,鹏华沪深300指数(LOF
7010,国寿安保中债1-3年指数A
7011,国寿安保中债1-3年指数C
7021,嘉实中债1-3政金债指数A
7022,嘉实中债1-3政金债指数C
7039,前海联合沪深300指数C
7078,工银3-5年国开债指数A
7079,工银3-5年国开债指数C
7089,国投中证500指数量化增强
7096,大成沪深300指数C
7130,中庚小盘价值股票
20011,国泰沪深300指数A
40002,华安中国A股增强指数
40046,华安纳斯达克100指数
40047,华安纳斯达克100指数现钞
40048,华安纳斯达克100指数现汇
50002,博时沪深300指数A
50015,博时大中华亚太精选股票
70012,嘉实海外中国股票混合
90010,大成中证红利指数
100032,富国中证红利指数增强
100038,富国沪深300指数增强
110003,易方达上证50指数A
118002,易方达标普消费品指数A
150028,信诚中证500指数分级A
150029,信诚中证500指数分级B
150051,信诚沪深300指数分级A
150052,信诚沪深300指数分级B
150083,广发深证100指数分级A
150084,广发深证100指数分级B
150092,诺德深证300指数分级A
150093,诺德深证300指数分级B
150104,华安沪深300指数分级A
150105,华安沪深300指数分级B
150106,易方达中小板指数分级A
150107,易方达中小板指数分级B
150117,国泰国证房地产行业指数分级A
150118,国泰国证房地产行业指数分级B
150130,国泰国证医药卫生指数分级A
150131,国泰国证医药卫生指数分级B
150135,国富中证100指数增强分级A
150136,国富中证100指数增强分级B
150143,银华中证转债指数增强分级A
150144,银华中证转债指数增强分级B
150148,信诚中证800医药指数分级A
150149,信诚中证800医药指数分级
150150,信诚中证800有色指数分级
150151,信诚中证800有色指数分级
150152,富国创业板指数分级A
150153,富国创业板指数分级B
150157,信诚中证800金融指数分级A
150158,信诚中证800金融指数分级
150167,银华沪深300指数分级A
150168,银华沪深300指数分级B
150169,汇添富恒生指数分级A
150170,汇添富恒生指数分级B
150173,信诚中证TMT产业指数分级A
150174,信诚中证TMT产业指数分级B
150175,银华恒生国企指数分级A
150176,银华恒生国企指数分级B
150181,富国中证军工指数分级A
150182,富国中证军工指数分级B
150184,申万中证环保产业指数分级A
150185,申万中证环保产业指数分级B
150186,申万菱信中证军工指数分级A
150187,申万菱信中证军工指数分级B
150190,新华中证环保产业指数分级A
150191,新华中证环保产业指数分级B
150194,富国中证移动互联网指数分级
150195,富国中证移动互联网指数分级
150198,国泰国证食品饮料行业指数A
150199,国泰国证食品饮料行业指数B
150205,鹏华中证国防指数分级A
150206,鹏华中证国防指数分级B
150209,富国中证国企改革指数分级A
150210,富国中证国企改革指数分级B
150211,富国中证新能源汽车指数分级A
150212,富国中证新能源汽车指数分级B
150213,国投瑞银中证创业指数分级A
150214,国投瑞银中证创业指数分级B
150215,国泰深证TMT50指数分级
150216,国泰深证TMT50指数分级B
150217,交银国证新能源指数分级A
150218,交银国证新能源指数分级B
150241,富国中证银行指数分级A
150242,富国中证银行指数分级B
150247,工银中证传媒指数分级A
150248,工银中证传媒指数分级B
150249,招商中证银行指数分级A
150250,招商中证银行指数分级B
150251,招商中证煤炭等权指数分级A
150252,招商中证煤炭等权指数分级B
150261,华宝中证医疗指数分级A
150262,华宝中证医疗指数分级B
150263,华宝中证1000指数分级A
150264,华宝中证1000指数分级B
150267,博时中证银行指数分级A
150268,博时中证银行指数分级B
150269,招商中证白酒指数分级A
150270,招商中证白酒指数分级B
150271,招商国证生物医药指数分级A
150272,招商国证生物医药指数分级B
150281,长盛中证金融地产指数分级A
150282,长盛中证金融地产指数分级B
150287,中融国证钢铁行业指数分级A
150288,中融国证钢铁行业指数分级B
150289,中融中证煤炭指数分级A
150290,中融中证煤炭指数分级B
150291,中融中证银行指数分级A
150292,中融中证银行指数分级B
150293,南方中证高铁产业指数分级A
150294,南方中证高铁产业指数分级B
150297,南方中证互联网指数分级A
150298,南方中证互联网指数分级B
150299,华安中证银行指数分级A
150300,华安中证银行指数分级B
150303,华安创业板50指数分级A
150304,华安创业板50指数分级B
150307,富国中证体育产业指数分级A
150308,富国中证体育产业指数分级B
150309,信诚中证信息安全指数分级A
150310,信诚中证信息安全指数分级B
150311,信诚中证智能家居指数分级A
150312,信诚中证智能家居指数分级B
150315,富国中证工业4.0指数分级
150316,富国中证工业4.0指数分级B
150317,交银中证互联网金融指数分级A
150318,交银中证互联网金融指数分级B
150321,富国中证煤炭指数分级A
150322,富国中证煤炭指数分级B
150323,工银中证环保产业指数分级A
150324,工银中证环保产业指数分级B
150325,工银中证高铁产业指数分级A
150326,工银中证高铁产业指数分级B
150327,工银中证新能源指数分级A
150328,工银中证新能源指数分级B
150329,方正富邦保险主题指数分级A
150330,方正富邦保险主题指数分级B
160121,南方金砖四国指数(QDII
160125,南方香港优选股票(QDII)
160135,南方中证高铁产业指数分级
160136,南方中证国有企业改革指数分
160137,南方中证互联网指数分级
160138,南方恒生中国企业精明指数A
160139,南方恒生中国企业精明指数C
160213,国泰纳斯达克100指数
160218,国泰国证房地产行业指数分级
160219,国泰国证医药卫生指数分级
160221,国泰国证有色金属行业指数分级
160222,国泰国证食品饮料行业指数分
160223,国泰创业板指数(LOF)
160224,国泰深证TMT50指数分级
160225,国泰国证新能源汽车指数
160322,华夏港股通精选股票LOF
160416,华安标普全球石油指数
160417,华安沪深300指数分级
160418,华安中证银行指数分级
160419,华安中证全指证券公司指数分
160420,华安创业板50指数分级
160517,博时中证银行指数分级
160615,鹏华沪深300指数(LOF
160616,鹏华中证500指数(LOF
160644,鹏华港美互联股票
160716,嘉实基本面50指数(LOF)A
160720,嘉实中证企业债指数A
160721,嘉实中证企业债指数C
160725,嘉实基本面50指数(LOF
160814,长盛中证金融地产指数分级
160919,大成产业升级股票
160922,大成恒生综合中小型股指数
160924,大成恒生指数
160925,大成中华沪深港300指数
161022,富国创业板指数分级
161024,富国中证军工指数分级
161025,富国中证移动互联网指数分级
161026,富国中证国企改革指数分级
161027,富国中证全指证券公司指数分
161028,富国中证新能源汽车指数分级
161029,富国中证银行指数分级
161030,富国中证体育产业指数分级
161031,富国中证工业4.0指数分级
161032,富国中证煤炭指数分级
161035,富国中证医药主题指数增强
161036,富国中证娱乐主题指数增强型
161037,富国中证高端制造指数增强型
161039,富国中证1000指数增强
161118,易方达中小板指数分级
161124,易方达香港小型股指数A
161125,易方达标普500指数人民币
161213,国投瑞银消费服务指数
161217,国投瑞银中证指数
161223,国投瑞银中证创业指数分级
161227,国投瑞银深证100指数
161229,国投瑞银中国价值发现股票
161607,融通巨潮100指数A(LO
161612,融通深证成份指数A
161613,融通创业板指数A
161631,融通人工智能指数(LOF)
161714,招商标普金砖四国指数
161718,招商沪深300高贝塔指数分
161720,招商中证全指证券公司指数分
161723,招商中证银行指数分级
161724,招商中证煤炭等权指数分级
161725,招商中证白酒指数分级
161726,招商国证生物医药指数分级
161811,银华沪深300指数分级
161819,银华中证内地资源指数分级
161826,银华中证转债指数增强分级
161831,银华恒生国企指数分级
161907,万家中证红利指数(LOF)
162107,金鹰量化精选股票(LOF)
162208,泰达宏利首选企业股票
162213,泰达宏利沪深300指数增强A
162216,泰达宏利500指数分级
162307,海富通中证100指数
162411,华宝标普油气上游股票
162412,华宝中证医疗指数分级
162413,华宝中证1000指数分级
162714,广发深证100指数分级
162719,广发道琼斯石油指数人民币A
162907,泰信基本面400指数分级
163110,申万菱信量化小盘股票
163111,申万菱信中小板指数
163114,申万中证环保产业指数分级
163115,申万菱信中证军工指数分级
163209,诺安中证创业成长指数分级
163407,兴全沪深300指数(LOF)
163821,中银沪深300等权重指数
164304,新华中证环保产业指数分级
164508,国富中证100指数增强分级
164705,汇添富恒生指数分级
164811,工银中证京津冀协同发展指数
164818,工银中证传媒指数分级
164819,工银中证环保产业指数分级
164820,工银中证高铁产业指数分级
164821,工银中证新能源指数分级
164825,工银中证京津冀协同发展指数
164905,交银国证新能源指数分级
164906,交银中证海外中国互联网指数
164907,交银中证互联网金融指数分级
165511,信诚中证500指数分级
165515,信诚沪深300指数分级
165519,信诚中证800医药指数分级
165520,信诚中证800有色指数分级
165521,信诚中证800金融指数分级
165522,信诚中证TMT产业指数分级
165523,信诚中证信息安全指数分级
165524,信诚中证智能家居指数分级
165525,信诚中证基建工程指数LOF
165707,诺德深证300指数分级
166802,浙商沪深300指数增强
167301,方正富邦保险主题指数分级
167601,国金沪深300指数增强
167702,德邦量化优选股票(LOF)A
167703,德邦量化优选股票(LOF)
167705,德邦量化新锐股票A
167706,德邦量化新锐股票C
168001,国寿安保中证养老产业指数分级
168203,中融国证钢铁行业指数分级
168204,中融中证煤炭指数分级
168205,中融中证银行指数分级
180003,银华-道琼斯88指数A
200002,长城久泰沪深300指数A
202211,南方中证100指数A
206012,鹏华价值精选股票
217016,招商深证100指数A
217027,招商央视财经50指数A
233010,大摩深证300指数增强
