trade_code,name
1139,华安新动力灵活配置混合
1140,工银总回报灵活配置混合
1141,泰达宏利创盈混合A
1142,泰达宏利创盈混合B
1143,华商量化进取混合
1144,大成互联网思维混合
1146,中欧瑾源灵活配置混合A
1147,中欧瑾源灵活配置混合C
1148,申万菱信多策略灵活配置混合
1149,汇丰晋信恒生龙头指数C
1150,融通互联网传媒灵活配置混合
1152,融通新区域新经济灵活配置混合
1156,申万菱信新能源汽车混合
1157,国联安睿祺灵活配置混合
1158,工银新材料新能源股票
1159,大成景秀灵活配置混合A
1162,前海开源优势蓝筹股票A
1163,银华中国梦30股票
1164,中欧琪和灵活配置混合A
1165,中欧琪和灵活配置混合C
1166,建信环保产业股票
1167,金鹰科技创新股票
1168,国投瑞银优选收益混合
1170,泰达宏利复兴混合
1171,工银养老产业股票
1172,鹏华弘泽混合A
1173,中欧瑾和灵活配置混合A
1174,中欧瑾和灵活配置混合C
1178,前海开源再融资股票
1179,德邦大健康灵活配置混合
1182,易方达安心回馈混合
1184,易方达新常态灵活配置混合
1185,安信动态策略混合A
1186,富国文体健康股票
1188,鹏华改革红利股票
1189,广发聚宝混合
1190,鹏华弘润混合A
1191,鹏华弘润混合C
1192,上投摩根整合驱动混合
1194,景顺长城稳健回报混合A
1195,工银农业产业股票
1196,东方鼎新灵活配置混合A
1198,东方惠新灵活配置混合A
1201,申万菱信安鑫回报混合A
1202,东方红领先精选混合
1203,东方红稳健精选混合A
1204,东方红稳健精选混合C
1205,建信稳健回报灵活配置混合
1206,广发聚惠混合A
1207,广发聚惠混合C
1208,诺安低碳经济股票
1209,前海开源一带一路混合A
1210,天弘互联网混合
1216,易方达新收益混合A
1217,易方达新收益混合C
1218,国投瑞银精选收益混合
1219,上投摩根动态多因子混合
1220,民生加银研究精选混合
1222,鹏华外延成长混合
1223,鹏华文化传媒娱乐股票
1224,中邮新思路灵活配置混合
1225,中邮趋势精选灵活配置混合
1226,中邮稳健添利灵活配置混合
1227,中邮信息产业灵活配置混合
1228,国联安鑫享灵活配置混合A
1229,德邦福鑫灵活配置混合A
1231,银华泰利灵活配置混合A
1236,博时丝路主题股票A
1239,长盛国企改革混合
1244,华泰柏瑞量化智慧混合A
1245,工银生态环境股票
1247,华泰柏瑞新利混合A
1249,易方达新利灵活配置混合
1250,天弘新活力混合
1252,中海进取收益混合
1253,建信回报灵活配置混合
1254,泰达宏利新起点混合A
1255,长城改革红利混合
1256,泓德优选成长混合
1261,中融新机遇混合
1264,银华恒利灵活配置混合A
1265,国泰兴益灵活配置混合A
1266,国投瑞银招财混合
1267,泰达宏利蓝筹混合
1268,富国国家安全主题混合
1270,英大灵活配置混合型发起式A
1271,英大灵活配置混合型发起式B
1272,兴业聚利灵活配置混合
1273,民生加银新动力混合A
1274,民生加银新动力混合D
1275,中邮创新优势灵活配置混合
1276,建信新经济灵活配置混合
1277,博时国企改革股票
1278,前海开源清洁能源混合A
1279,中海积极增利混合
1280,银华聚利灵活配置混合A
1281,长安鑫利优选混合A
1283,红塔红土盛金新动力混合A
1284,红塔红土盛金新动力混合C
1285,易方达新鑫混合I
1286,易方达新鑫混合E
1287,安信优势增长混合A
1289,银华汇利灵活配置混合A
1291,大摩量化多策略股票
1294,新华战略新兴产业灵活配置混合
1296,长城转型成长灵活配置混合
1297,平安智慧中国混合
1298,金鹰民族新兴混合
1300,大成睿景灵活配置混合A
1301,大成睿景灵活配置混合C
1302,前海开源金银珠宝混合A
1303,银华稳利灵活配置混合A
1304,建信鑫安回报灵活配置混合
1305,九泰天富改革混合
1306,中欧永裕混合A
1307,中欧永裕混合C
1309,东方红睿逸定期开放混合
1311,华安新回报灵活配置混合
1312,华安新优选灵活配置混合A
1313,上投摩根智慧互联股票
1314,易方达新益混合I
1315,易方达新益混合E
1316,安信稳健增值混合A
1318,东方新策略灵活配置混合A
1319,农银信息传媒股票
